"Tag","Controller","Method","Path","Action","Auth","Permission"
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/fiche-inscription/{enrollmentId:guid}","GetEnrollmentForm","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/prerequisites","GetPrerequisites","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/registration-number","GenerateRegistrationNumber","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/search-guardians","SearchGuardians","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/search-students","SearchStudents","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/store-file","StoreEnrollmentFile","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/structure-options","GetStructureOptions","JWT",""
"EnrollmentWizard","EnrollmentWizardController","PUT","/api/v1/enrollment-wizard/student-dossier/{enrollmentId:guid}","UpdateStudentDossier","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/student-dossier/{enrollmentId:guid}/validate","ValidateStudentDossierUpdate","JWT",""
"EnrollmentWizard","EnrollmentWizardController","GET","/api/v1/enrollment-wizard/student-dossier/{studentId:guid}","GetStudentDossierForEdit","JWT",""
"EnrollmentWizard","EnrollmentWizardController","POST","/api/v1/enrollment-wizard/validate","Validate","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates","Search","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates","Create","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates/{id:guid}","GetById","JWT",""
"ExchangeRates","ExchangeRatesController","PUT","/api/v1/exchange-rates/{id:guid}","Update","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates/{id:guid}/activate","Activate","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates/{id:guid}/deactivate","Deactivate","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates/active","GetActive","JWT",""
"ExchangeRates","ExchangeRatesController","POST","/api/v1/exchange-rates/convert","Convert","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates/for-date","GetForDate","JWT",""
"ExchangeRates","ExchangeRatesController","GET","/api/v1/exchange-rates/history","History","JWT",""
"ExchangeRateTypes","ExchangeRateTypesController","GET","/api/v1/exchange-rate-types","List","JWT",""
"ExchangeRateTypes","ExchangeRateTypesController","POST","/api/v1/exchange-rate-types","Create","JWT",""
"ExchangeRateTypes","ExchangeRateTypesController","PUT","/api/v1/exchange-rate-types/{id:guid}","Update","JWT",""
"ExchangeRateTypes","ExchangeRateTypesController","POST","/api/v1/exchange-rate-types/{id:guid}/activate","Activate","JWT",""
"ExchangeRateTypes","ExchangeRateTypesController","POST","/api/v1/exchange-rate-types/{id:guid}/deactivate","Deactivate","JWT",""
"Finance","FinanceController","GET","/api/v1/finance/payment-situations","SearchPaymentSituations","JWT",""
"Finance","FinanceController","GET","/api/v1/finance/payment-situations/{enrollmentId:guid}/installment-plan","GetInstallmentPaymentPlan","JWT",""
"Finance","FinanceController","GET","/api/v1/finance/pricing-assignments","SearchPricingAssignments","JWT",""
"Finance","FinanceController","PUT","/api/v1/finance/pricing-assignments/{enrollmentId:guid}","UpdatePricingAssignment","JWT",""
"Finance","FinanceController","GET","/api/v1/finance/pricing-assignments/{enrollmentId:guid}/applicable-fees","GetApplicableFees","JWT",""
"Finance","FinanceController","GET","/api/v1/finance/pricing-assignments/{enrollmentId:guid}/history","GetPricingAssignmentHistory","JWT",""
"Geography","GeographyController","GET","/api/v1/geography/addresses/{id:guid}","GetAddress","JWT",""
"Geography","GeographyController","GET","/api/v1/geography/cities","GetCities","JWT",""
"Geography","GeographyController","GET","/api/v1/geography/communes","GetCommunes","JWT",""
"Geography","GeographyController","GET","/api/v1/geography/countries","GetCountries","JWT",""
"Geography","GeographyController","GET","/api/v1/geography/provinces","GetProvinces","JWT",""
"GeographyAdmin","GeographyAdminController","GET","/api/v1/geography/admin/cities","GetCities","JWT",""
"GeographyAdmin","GeographyAdminController","POST","/api/v1/geography/admin/cities","CreateCity","JWT",""
"GeographyAdmin","GeographyAdminController","DELETE","/api/v1/geography/admin/cities/{id:guid}","DeactivateCity","JWT",""
"GeographyAdmin","GeographyAdminController","PUT","/api/v1/geography/admin/cities/{id:guid}","UpdateCity","JWT",""
"GeographyAdmin","GeographyAdminController","GET","/api/v1/geography/admin/communes","GetCommunes","JWT",""
"GeographyAdmin","GeographyAdminController","POST","/api/v1/geography/admin/communes","CreateCommune","JWT",""
"GeographyAdmin","GeographyAdminController","DELETE","/api/v1/geography/admin/communes/{id:guid}","DeactivateCommune","JWT",""
"GeographyAdmin","GeographyAdminController","PUT","/api/v1/geography/admin/communes/{id:guid}","UpdateCommune","JWT",""
"GeographyAdmin","GeographyAdminController","GET","/api/v1/geography/admin/countries","GetCountries","JWT",""
"GeographyAdmin","GeographyAdminController","POST","/api/v1/geography/admin/countries","CreateCountry","JWT",""
"GeographyAdmin","GeographyAdminController","DELETE","/api/v1/geography/admin/countries/{id:guid}","DeactivateCountry","JWT",""
"GeographyAdmin","GeographyAdminController","PUT","/api/v1/geography/admin/countries/{id:guid}","UpdateCountry","JWT",""
"GeographyAdmin","GeographyAdminController","POST","/api/v1/geography/admin/import","ImportExcel","JWT",""
"GeographyAdmin","GeographyAdminController","GET","/api/v1/geography/admin/import/template","DownloadImportTemplate","JWT",""
"GeographyAdmin","GeographyAdminController","GET","/api/v1/geography/admin/provinces","GetProvinces","JWT",""
"GeographyAdmin","GeographyAdminController","POST","/api/v1/geography/admin/provinces","CreateProvince","JWT",""
"GeographyAdmin","GeographyAdminController","DELETE","/api/v1/geography/admin/provinces/{id:guid}","DeactivateProvince","JWT",""
"GeographyAdmin","GeographyAdminController","PUT","/api/v1/geography/admin/provinces/{id:guid}","UpdateProvince","JWT",""
"Grades","GradesController","POST","/api/v1/grades/entries","SubmitGrades","JWT",""
"Grades","GradesController","GET","/api/v1/grades/evaluations","GetEvaluations","JWT",""
"Grades","GradesController","POST","/api/v1/grades/evaluations","CreateEvaluation","JWT",""
"Grades","GradesController","GET","/api/v1/grades/evaluations/{evaluationId:guid}/entries","GetGradeEntries","JWT",""
"Grades","GradesController","GET","/api/v1/grades/evaluation-types","GetEvaluationTypes","JWT",""
"Grades","GradesController","GET","/api/v1/grades/period-results","GetPeriodResults","JWT",""
"Grades","GradesController","POST","/api/v1/grades/period-results/calculate","CalculatePeriodResults","JWT",""
"MobileSubscription","MobileSubscriptionController","GET","/api/mobile/subscription","GetSubscription","JWT",""
"MobileSubscriptionPayment","MobileSubscriptionPaymentController","POST","/api/v1/mobile/subscription/payment/callback","Callback","JWT",""
"MobileSubscriptionPayment","MobileSubscriptionPaymentController","POST","/api/v1/mobile/subscription/payment/initiate","Initiate","JWT",""
"MobileSubscriptionPayment","MobileSubscriptionPaymentController","POST","/api/v1/mobile/subscription/payment/status","Status","JWT",""
"MobileSubscriptionPayment","MobileSubscriptionPaymentController","GET","/api/v1/mobile/subscription/payments","History","JWT",""
"MobileSubscriptionPayment","MobileSubscriptionPaymentController","GET","/api/v1/mobile/subscription/payments/{paymentId:guid}/invoice/pdf","InvoicePdf","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children","GetChildren","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/attendance","GetChildAttendance","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/bulletins","GetChildBulletins","JWT",""
